Episode,Total Reward
1,27
2,7
3,5
4,32
5,11
6,5
7,5
8,16
9,2
10,0
11,0
12,10
13,18
14,0
17,1
18,0
19,2
20,4
22,0
23,12
24,11
25,0
26,4
28,1
29,3
30,0
31,2
32,4
33,0
34,0
35,0
36,1
38,0
39,0
41,0
42,0
44,0
45,0
46,10
47,1
50,0
52,5
53,4
56,0
57,0
58,0
59,0
60,0
63,0
65,1
68,0
71,0
73,16
74,1
75,17
77,5
78,1
80,9
81,11
82,20
83,15
85,23
86,0
90,3
91,14
92,17
93,25
94,23
95,2
96,4
97,18
101,0
102,5
104,2
105,1
106,3
107,0
108,0
111,0
112,0
113,2
115,0
116,8
117,3
118,34
119,22
120,0
121,0
122,0
124,2
125,1
126,11
127,11
128,11
130,1
131,20
133,6
134,29
136,22
137,16
139,5
140,16
142,22
143,9
144,3
145,8
147,8
148,1
150,0
152,0
155,1
156,2
159,4
162,6
166,0
167,24
168,0
169,14
170,5
171,0
175,3
181,19
183,0
185,0
190,8
191,4
193,3
194,12
199,2
200,8
201,5
202,35
206,8
207,7
209,18
212,42
213,22
214,36
215,39
216,46
217,39
218,37
219,25
220,26
224,25
230,32
231,31
234,27
237,28
238,33
241,34
244,22
247,42
248,51
249,47
250,66
256,44
257,16
258,52
259,45
260,38
261,25
262,36
265,50
269,66
271,18
272,12
273,30
274,33
275,42
277,27
278,46
280,20
281,34
282,51
285,86
286,88
288,26
289,41
291,25
292,51
294,43
296,25
300,39
301,43
302,76
303,48
304,32
305,40
306,51
307,26
308,46
310,50
311,42
314,63
315,59
318,43
320,34
322,49
325,64
326,43
327,35
329,52
331,39
333,42
336,38
337,37
343,48
344,45
345,52
346,45
348,65
352,53
354,47
357,7
359,69
360,62
361,70
365,49
366,46
367,57
370,32
373,27
375,76
376,9
377,54
380,52
382,28
383,84
384,55
387,43
388,36
390,24
393,43
394,25
400,29
403,21
404,38
405,33
406,82
408,56
409,53
411,39
412,45
413,52
414,55
417,47
420,55
423,46
424,69
427,41
429,43
430,48
431,31
433,69
436,35
437,77
440,32
441,51
442,33
444,42
445,51
446,56
447,20
452,48
456,85
458,46
459,35
461,47
462,42
465,53
466,48
471,36
473,47
475,42
477,44
478,56
479,39
483,44
484,43
487,46
488,73
490,32
494,22
495,40
496,21
498,50
499,67
